Mileage,Text,Points
59456.569344287396,21-1,618977.808 3402447.935;618973.228 3402444.451;618982.439 3402433.137;618986.825 3402436.921
74902.82052790256,571-1,596728.263 3392762.287;596730.051 3392754.786;596739.819 3392758.188;596737.988 3392764.904
74902.82052790256,830-1,591454.856 3393210.700;591467.918 3393214.270;591471.103 3393203.237;591467.827 3393202.300;591468.581 3393199.666;591462.137 3393197.867;591461.383 3393200.533;591458.010 3393199.577
74902.82052790256,1231-2,577801.297 3397798.266;577812.753 3397801.477;577815.763 3397790.737;577804.307 3397787.527
74902.82052790256,442-2,516370.594 3365508.942;516375.248 3365509.662;516377.377 3365500.233;516378.202 3365500.479;516378.366 3365499.520;516373.100 3365498.135
74902.82052790256,570-1,596742.535 3392790.901;596750.452 3392760.285;596808.039 3392775.918;596807.888 3392773.995;596813.183 3392775.571;596806.312 3392804.661;596800.463 3392803.652;596799.858 3392806.476
74902.82052790256,1231-4,577762.699 3397745.574;577770.858 3397747.157;577771.998 3397729.937;577765.385 3397729.202
74902.82052790256,1231-5,577750.111 3397738.814;577751.125 3397739.014;577750.553 3397743.809;577752.316 3397744.030;577752.229 3397744.693;577761.277 3397746.278;577761.460 3397745.334;577762.699 3397745.574;577765.471 3397727.733;577752.115 3397725.529
74902.82052790256,129,534816.331 3373518.838;534829.146 3373521.226;534822.377 3373552.895;534810.022 3373550.519
74902.82052790256,131,534816.331 3373518.838;534829.146 3373521.226;534822.377 3373552.895;534810.022 3373550.519
74902.82052790256,421-1,528805.370 3372078.710;528802.049 3372077.806;528802.519 3372076.352;528793.100 3372073.306;528792.668 3372074.637;528789.605 3372073.643;528795.441 3372055.419;528810.470 3372060.279;528811.323 3372060.473
