Mileage_m , Distance_m, Side , Text
 60790.383,     50.826, Left , 平湖市衙前喷塑厂
 65191.353,     54.499, Right, 平湖新仓肖家宅
 73420.352,     29.708, Right, 平湖横塘港村
 75514.581,     17.626, Right, 平湖林埭东方红村委北
 79596.313,     28.409, Left , 平湖当湖街道西江路
 82645.105,     67.099, Left , 平湖通界驾校
 83949.627,     51.515, Left , 平湖当湖黄家浜
 90465.811,     15.434, Left , 嘉兴新丰栖凰埭村
 95527.236,     19.179, Right, 嘉兴新丰东汤桥
104844.068,     50.879, Left , 嘉兴余新普光村童家浜
105860.28 ,      4.884, Right, 嘉兴南站东
106812.207,     11.213, Left , 嘉兴南站南
108591.706,     41.856, Left , 嘉兴余新南小桥南
109160.843,     12.202, Left , 嘉兴长水街道永丰村南
112236.9  ,     11.911, Left , 嘉兴红联村南
112843.297,     30.898, Left , 嘉兴王店朱南汇
113714.52 ,     18.197, Right, 嘉兴王店库楼下北
115825.313,      1.108, Right, 嘉兴姚家庄外浜北
117157.915,     49.771, Right, 嘉兴沪杭高速王店出口
117972.637,     34.908, Right, 嘉兴王店羊眼桥南
118938.845,     55.998, Right, 嘉兴王店建农村东
120582.934,     32.272, Right, 嘉兴服务区北区东
121461.022,     61.638, Left , 嘉兴东南村-王店浦家村东资源点
122033.094,     77.104, Left , 嘉兴王店竺塘桥
122668.307,     28.276, Right, 嘉兴王店斜港桥村北高铁
123288.005,     51.549, Left , 嘉兴王店北洋村资源点
123498.286,     41.613, Right, 嘉兴王店北洋村
125724.553,     18.305, Right, 嘉兴王店罗家村蒋家门
126118.904,     57.171, Right, 嘉兴王店南星桥村环乔门
126591.376,     42.175, Right, 桐乡大浜头
127596.134,      1.305, Right, 桐乡屠甸陆家浜闸站
127945.494,     23.482, Right, 桐乡屠甸莫太施桥
128469.863,     73.928, Right, 桐乡屠甸院基里北
129533.06 ,     67.81 , Left , 桐乡屠甸松玲村南
129888.745,     51.214, Left , 桐乡屠甸叶介湾
130332.082,     62.459, Left , 桐乡屠甸谢介门
130690.182,     67.809, Left , 桐乡屠甸星星村南
134279.755,     25.626, Left , 桐乡高桥扶国桥北
134281.433,     21.854, Left , 桐乡扶国桥北
135114.138,     25.859, Left , 桐乡越丰桥西（铁塔）
135371.963,     26.927, Left , 桐乡高桥安桥头
136273.17 ,     18.259, Left , 桐乡高桥高速路口东
136779.435,     10.303, Left , 桐乡高桥收费站
136812.608,     43.237, Right, 桐乡高桥高速路口
139392.883,     81.728, Left , 桐乡高桥上河头东南
140935.36 ,     25.443, Left , 桐乡湾里村南木村西资源点
142614.078,     14.574, Left , 桐乡崇福周家角
143045.6  ,     22.768, Right, 桐乡崇福同家浜东
144162.976,     17.912, Left , 桐乡崇福御驾桥西资源点
146215.893,     34.285, Left , 海宁长安兴福
149385.474,     49.049, Left , 海宁陆泽
153245.792,      5.308, Left , 海宁沈士联盟
154778.353,     74.33 , Left , 海宁科同
157562.204,     30.378, Right, 海宁许村木头桥南
